id,name,series,printedTotal,total,legalities,ptcgoCode,releaseDate,updatedAt,symbol,logo
xyp,XY Black Star Promos,XY,211,216,"unlimited, expanded",PR-XY,2013/10/12,2020/08/14 09:35:00,https://images.pokemontcg.io/xyp/symbol.png,https://images.pokemontcg.io/xyp/logo.png
bw11,Legendary Treasures,Black & White,113,140,"unlimited, expanded",LTR,2013/11/06,2018/03/04 10:35:00,https://images.pokemontcg.io/bw11/symbol.png,https://images.pokemontcg.io/bw11/logo.png
xy0,Kalos Starter Set,XY,39,39,"unlimited, expanded",KSS,2013/11/08,2018/03/04 10:35:00,https://images.pokemontcg.io/xy0/symbol.png,https://images.pokemontcg.io/xy0/logo.png
xy1,XY,XY,146,146,"unlimited, expanded",XY,2014/02/05,2018/03/04 10:35:00,https://images.pokemontcg.io/xy1/symbol.png,https://images.pokemontcg.io/xy1/logo.png
xy2,Flashfire,XY,106,110,"unlimited, expanded",FLF,2014/05/07,2018/03/04 10:35:00,https://images.pokemontcg.io/xy2/symbol.png,https://images.pokemontcg.io/xy2/logo.png
xy3,Furious Fists,XY,111,114,"unlimited, expanded",FFI,2014/08/13,2018/03/04 10:35:00,https://images.pokemontcg.io/xy3/symbol.png,https://images.pokemontcg.io/xy3/logo.png
xy4,Phantom Forces,XY,119,124,"unlimited, expanded",PHF,2014/11/05,2020/08/14 09:35:00,https://images.pokemontcg.io/xy4/symbol.png,https://images.pokemontcg.io/xy4/logo.png
xy5,Primal Clash,XY,160,164,"unlimited, expanded",PRC,2015/02/04,2020/05/01 16:06:00,https://images.pokemontcg.io/xy5/symbol.png,https://images.pokemontcg.io/xy5/logo.png
dc1,Double Crisis,XY,34,34,"unlimited, expanded",DCR,2015/03/25,2019/01/28 16:44:00,https://images.pokemontcg.io/dc1/symbol.png,https://images.pokemontcg.io/dc1/logo.png
xy6,Roaring Skies,XY,108,112,"unlimited, expanded",ROS,2015/05/06,2020/08/14 09:35:00,https://images.pokemontcg.io/xy6/symbol.png,https://images.pokemontcg.io/xy6/logo.png
xy7,Ancient Origins,XY,98,100,"unlimited, expanded",AOR,2015/08/12,2020/08/14 09:35:00,https://images.pokemontcg.io/xy7/symbol.png,https://images.pokemontcg.io/xy7/logo.png
